34.221.42.135,2020-12-24T14:04:05,"fourmilab",1.0,Gm,1,teleport,"Sandbox Astutula","<176.00000, 148.00000, 27.00000>","Sandbox Pristina","<128.00000, 128.00000, 27.25872>"
54.186.72.108,2020-12-24T14:04:06,"fourmilab",1.0,Gm,1,time,"Fourmilab",2020-12-24T14:04:05.953385Z,1608818645
52.43.118.202,2020-12-24T14:04:17,"fourmilab",1.0,Gm,1,info,Fourmilab,region,Fourmilab,"<945,1211,0>",simhost-00f6b2d287ed76980.agni.secondlife.io,4.50619354e1,9.92881059e-1,1048576,1,"<7.17081356,7.07237601e-1,0.0>"
54.202.28.116,2020-12-24T14:04:17,"fourmilab",1.0,Gm,1,info,Fourmilab,regenv,44,enabled,51556,Fourmilab,19327432,1,0,"Estate / Full Region",024,1607719831,1098815,"Second Life Server",2020-12-09.553685,simhost-00f6b2d287ed76980.agni.secondlife.io,20000,1,10,20,100
34.211.102.204,2020-12-24T14:04:17,"fourmilab",1.0,Gm,1,info,Fourmilab,regrate,MATURE
34.220.211.184,2020-12-24T14:05:49,"fourmilab",1.0,Gm,1,time,"Fourmilab",2020-12-24T14:05:49.648635Z,1608818749
52.88.132.126,2020-12-24T14:06:35,"fourmilab",1.0,Gm,1,time,"Fourmilab",2020-12-24T14:06:35.547767Z,1608818795
54.212.236.208,2020-12-24T14:06:45,"fourmilab",1.0,Gm,1,teleport,"Sandbox Exemplar","<170.00000, 180.00000, 27.00000>","Fourmilab","<89.84380, 153.34400, 750.89480>"
52.88.132.126,2020-12-24T14:06:47,"fourmilab",1.0,Gm,1,time,"Sandbox Exemplar",2020-12-24T14:06:46.930139Z,1608818806
54.203.237.24,2020-12-24T14:06:59,"fourmilab",1.0,Gm,1,info,"Sandbox Exemplar",region,"Sandbox Exemplar","<1192,917,0>",simhost-077563b8b6bcaac63.agni.secondlife.io,4.496879e1,1.0,5242880,2,"<-1.7501204,-3.19432544,0.0>"
35.160.241.146,2020-12-24T14:06:59,"fourmilab",1.0,Gm,1,info,"Sandbox Exemplar",regenv,44,enabled,39727,"Premium Sandboxes",49859648,1,0,"Estate / Full Region",024,1607623724,1195083,"Second Life Server",2020-12-09.553685,simhost-077563b8b6bcaac63.agni.secondlife.io,20000,1,10,20,100
54.188.92.48,2020-12-24T14:06:59,"fourmilab",1.0,Gm,1,info,"Sandbox Exemplar",regrate,PG
35.160.241.146,2020-12-24T14:06:59,"fourmilab",1.0,Gm,1,info,"Sandbox Exemplar",parcel,"Sandbox - cleans every 4 hours. No combat, no selling!","Save your work! only NO COPY items will return to inventory. Simple scripts only.",3d6181b0-6a4b-97ef-18d8-722652995cf1,A,"Governor Linden",61440,1,18750,1042317387
54.203.16.199,2020-12-24T14:07:09,"fourmilab",1.0,Gm,1,compute,"Sandbox Exemplar",task,float,ips,136837,iter,1180000,time,8.623416
54.188.89.213,2020-12-24T14:07:16,"fourmilab",1.0,Gm,1,compute,"Sandbox Exemplar",task,list,ips,5572,iter,42230,time,7.578672
54.203.237.24,2020-12-24T14:07:24,"fourmilab",1.0,Gm,1,compute,"Sandbox Exemplar",task,prim,ips,476,iter,3600,time,7.555830
34.219.224.4,2020-12-24T14:07:34,"fourmilab",1.0,Gm,1,compute,"Sandbox Exemplar",task,string,ips,8407,iter,82000,time,9.753489
35.160.241.146,2020-12-24T14:07:42,"fourmilab",1.0,Gm,1,compute,"Sandbox Exemplar",task,texture,ips,400,iter,3150,time,7.867159
54.218.22.241,2020-12-24T14:07:54,"fourmilab",1.0,Gm,1,message,"Sandbox Exemplar",type,link,messages,1000,length,128,bytes,128000,time,11.156990,"msg/sec",89.629880,"bytes/sec",11472.620000
